Design,Level_20
ac97_ctrl_orig.bench,11052
ac97_ctrl_orig.bench,10949
ac97_ctrl_orig.bench,10925
ac97_ctrl_orig.bench,11035
ac97_ctrl_orig.bench,10930
ac97_ctrl_orig.bench,11024
ac97_ctrl_orig.bench,10933
ac97_ctrl_orig.bench,11021
ac97_ctrl_orig.bench,10928
ac97_ctrl_orig.bench,11013
ac97_ctrl_orig.bench,11065
ac97_ctrl_orig.bench,10939
ac97_ctrl_orig.bench,10924
ac97_ctrl_orig.bench,11038
ac97_ctrl_orig.bench,11031
ac97_ctrl_orig.bench,10969
ac97_ctrl_orig.bench,10927
ac97_ctrl_orig.bench,11034
ac97_ctrl_orig.bench,10965
ac97_ctrl_orig.bench,10926
ac97_ctrl_orig.bench,11087
ac97_ctrl_orig.bench,11030
ac97_ctrl_orig.bench,10941
ac97_ctrl_orig.bench,11028
ac97_ctrl_orig.bench,10931
ac97_ctrl_orig.bench,10943
ac97_ctrl_orig.bench,10939
ac97_ctrl_orig.bench,10941
ac97_ctrl_orig.bench,10947
ac97_ctrl_orig.bench,11021
ac97_ctrl_orig.bench,10933
ac97_ctrl_orig.bench,10926
ac97_ctrl_orig.bench,10933
ac97_ctrl_orig.bench,10942
ac97_ctrl_orig.bench,10928
ac97_ctrl_orig.bench,11060
ac97_ctrl_orig.bench,10940
ac97_ctrl_orig.bench,11048
ac97_ctrl_orig.bench,11032
ac97_ctrl_orig.bench,10930
ac97_ctrl_orig.bench,10931
ac97_ctrl_orig.bench,10922
ac97_ctrl_orig.bench,10930
ac97_ctrl_orig.bench,10946
ac97_ctrl_orig.bench,11021
ac97_ctrl_orig.bench,11039
ac97_ctrl_orig.bench,10923
ac97_ctrl_orig.bench,10928
ac97_ctrl_orig.bench,10953
ac97_ctrl_orig.bench,10937
ac97_ctrl_orig.bench,10956
ac97_ctrl_orig.bench,11064
ac97_ctrl_orig.bench,10939
ac97_ctrl_orig.bench,10943
ac97_ctrl_orig.bench,10931
ac97_ctrl_orig.bench,10928
ac97_ctrl_orig.bench,10957
ac97_ctrl_orig.bench,10924
ac97_ctrl_orig.bench,10935
ac97_ctrl_orig.bench,11055
ac97_ctrl_orig.bench,10945
ac97_ctrl_orig.bench,11054
ac97_ctrl_orig.bench,10962
ac97_ctrl_orig.bench,11033
ac97_ctrl_orig.bench,11032
ac97_ctrl_orig.bench,10922
ac97_ctrl_orig.bench,10937
ac97_ctrl_orig.bench,11033
