Design,RecipeID,Area_AND_Count
ac97_ctrl_orig.bench,0,11052
ac97_ctrl_orig.bench,1,10949
ac97_ctrl_orig.bench,2,10925
ac97_ctrl_orig.bench,3,11035
ac97_ctrl_orig.bench,4,10930
ac97_ctrl_orig.bench,5,11024
ac97_ctrl_orig.bench,6,10933
ac97_ctrl_orig.bench,7,11021
ac97_ctrl_orig.bench,8,10928
ac97_ctrl_orig.bench,9,11013
ac97_ctrl_orig.bench,10,11065
ac97_ctrl_orig.bench,11,10939
ac97_ctrl_orig.bench,12,10924
ac97_ctrl_orig.bench,13,11038
ac97_ctrl_orig.bench,14,11031
ac97_ctrl_orig.bench,15,10969
ac97_ctrl_orig.bench,16,10927
ac97_ctrl_orig.bench,17,11034
ac97_ctrl_orig.bench,18,10965
ac97_ctrl_orig.bench,19,10926
ac97_ctrl_orig.bench,20,11087
ac97_ctrl_orig.bench,21,11030
ac97_ctrl_orig.bench,22,10941
ac97_ctrl_orig.bench,23,11028
ac97_ctrl_orig.bench,24,10931
ac97_ctrl_orig.bench,25,10943
ac97_ctrl_orig.bench,26,10939
ac97_ctrl_orig.bench,27,10941
ac97_ctrl_orig.bench,28,10947
ac97_ctrl_orig.bench,29,11021
ac97_ctrl_orig.bench,30,10933
ac97_ctrl_orig.bench,31,10926
ac97_ctrl_orig.bench,32,10933
ac97_ctrl_orig.bench,33,10942
ac97_ctrl_orig.bench,34,10928
ac97_ctrl_orig.bench,35,11060
ac97_ctrl_orig.bench,36,10940
ac97_ctrl_orig.bench,37,11048
ac97_ctrl_orig.bench,38,11032
ac97_ctrl_orig.bench,39,10930
ac97_ctrl_orig.bench,40,10931
ac97_ctrl_orig.bench,41,10922
ac97_ctrl_orig.bench,42,10930
ac97_ctrl_orig.bench,43,10946
ac97_ctrl_orig.bench,44,11021
ac97_ctrl_orig.bench,45,11039
ac97_ctrl_orig.bench,46,10923
ac97_ctrl_orig.bench,47,10928
ac97_ctrl_orig.bench,48,10953
ac97_ctrl_orig.bench,49,10937
ac97_ctrl_orig.bench,50,10956
ac97_ctrl_orig.bench,51,11064
ac97_ctrl_orig.bench,52,10939
ac97_ctrl_orig.bench,53,10943
ac97_ctrl_orig.bench,54,10931
ac97_ctrl_orig.bench,55,10928
ac97_ctrl_orig.bench,56,10957
ac97_ctrl_orig.bench,57,10924
ac97_ctrl_orig.bench,58,10935
ac97_ctrl_orig.bench,59,11055
ac97_ctrl_orig.bench,60,10945
ac97_ctrl_orig.bench,61,11054
ac97_ctrl_orig.bench,62,10962
ac97_ctrl_orig.bench,63,11033
ac97_ctrl_orig.bench,64,11032
ac97_ctrl_orig.bench,65,10922
ac97_ctrl_orig.bench,66,10937
ac97_ctrl_orig.bench,67,11033
ac97_ctrl_orig.bench,68,10926
ac97_ctrl_orig.bench,69,11032
ac97_ctrl_orig.bench,70,11018
ac97_ctrl_orig.bench,71,10928
ac97_ctrl_orig.bench,72,10945
ac97_ctrl_orig.bench,73,11053
ac97_ctrl_orig.bench,74,10957
ac97_ctrl_orig.bench,75,11058
ac97_ctrl_orig.bench,76,10926
ac97_ctrl_orig.bench,77,10925
ac97_ctrl_orig.bench,78,10918
ac97_ctrl_orig.bench,79,10933
ac97_ctrl_orig.bench,80,11060
ac97_ctrl_orig.bench,81,11045
ac97_ctrl_orig.bench,82,10954
ac97_ctrl_orig.bench,83,10944
ac97_ctrl_orig.bench,84,10934
ac97_ctrl_orig.bench,85,11025
ac97_ctrl_orig.bench,86,11034
ac97_ctrl_orig.bench,87,11030
ac97_ctrl_orig.bench,88,11023
ac97_ctrl_orig.bench,89,10931
ac97_ctrl_orig.bench,90,10929
ac97_ctrl_orig.bench,91,10935
ac97_ctrl_orig.bench,92,10961
ac97_ctrl_orig.bench,93,11048
ac97_ctrl_orig.bench,94,11034
ac97_ctrl_orig.bench,95,11015
ac97_ctrl_orig.bench,96,11030
ac97_ctrl_orig.bench,97,11030
ac97_ctrl_orig.bench,98,10935
ac97_ctrl_orig.bench,99,10929
ac97_ctrl_orig.bench,100,11016
ac97_ctrl_orig.bench,101,10934
ac97_ctrl_orig.bench,102,11024
ac97_ctrl_orig.bench,103,10946
ac97_ctrl_orig.bench,104,10948
ac97_ctrl_orig.bench,105,11111
ac97_ctrl_orig.bench,106,10927
ac97_ctrl_orig.bench,107,11057
ac97_ctrl_orig.bench,108,10912
ac97_ctrl_orig.bench,109,10959
ac97_ctrl_orig.bench,110,10946
ac97_ctrl_orig.bench,111,11021
ac97_ctrl_orig.bench,112,11097
ac97_ctrl_orig.bench,113,10929
ac97_ctrl_orig.bench,114,10935
ac97_ctrl_orig.bench,115,10931
ac97_ctrl_orig.bench,116,10965
ac97_ctrl_orig.bench,117,10944
ac97_ctrl_orig.bench,118,10935
ac97_ctrl_orig.bench,119,10935
ac97_ctrl_orig.bench,120,11034
ac97_ctrl_orig.bench,121,10921
ac97_ctrl_orig.bench,122,10916
ac97_ctrl_orig.bench,123,11017
ac97_ctrl_orig.bench,124,10927
ac97_ctrl_orig.bench,125,11040
ac97_ctrl_orig.bench,126,10936
ac97_ctrl_orig.bench,127,11019
