Design,RecipeID,ANDgates,NOTgates,lpLen,area,delay
Rocket_csr,0,6671,7234,22,4758.21,3369.65
Rocket_csr,1,6689,7159,19,4923.93,6041.4
Rocket_csr,2,6632,6791,21,5051.87,2811.36
Rocket_csr,3,6636,6813,21,5073.42,2920.17
Rocket_csr,4,6641,7132,20,4921.8,2879.31
Rocket_csr,5,6699,7178,24,4782.15,3521.67
Rocket_csr,6,6670,7069,20,5055.86,4013.35
Rocket_csr,7,6603,7096,23,4711.66,3050.86
Rocket_csr,8,6672,7005,20,5063.58,2712.63
Rocket_csr,9,6604,6994,21,4861.15,2671.23
Rocket_csr,10,6651,6845,24,4985.37,5766.99
Rocket_csr,11,6653,7167,22,4838.81,3078.46
Rocket_csr,12,6622,7062,21,4863.01,4367.29
Rocket_csr,13,6601,7094,24,4816.73,3238.17
Rocket_csr,14,6639,7113,23,4837.21,3397.57
Rocket_csr,15,6673,7113,19,5035.91,4769.62
Rocket_csr,16,6611,7062,22,4849.71,2826.45
Rocket_csr,17,6700,7100,18,5014.37,3605.52
Rocket_csr,18,6646,7162,20,4896.53,2769.53
Rocket_csr,19,6622,7118,21,4828.43,2962.24
Rocket_csr,20,6772,7331,21,4914.35,4176.35
Rocket_csr,21,6608,7095,22,4851.84,3100.19
Rocket_csr,22,6665,7249,21,4768.32,3009.31
Rocket_csr,23,6679,7168,24,4784.01,4032.46
Rocket_csr,24,6605,7065,21,4865.94,2773.22
Rocket_csr,25,6642,7221,23,4783.21,2208.76
Rocket_csr,26,6622,6816,21,5042.56,2760.62
Rocket_csr,27,6571,7191,23,4688.78,2853.27
Rocket_csr,28,6652,6799,22,5036.18,3496.83
Rocket_csr,29,6690,6873,21,5146.04,2308.76
Rocket_csr,30,6661,6831,20,5129.54,2374.49
Rocket_csr,31,6627,6754,22,5042.56,2309.96
Rocket_csr,32,6685,7195,20,4852.11,2692.58
Rocket_csr,33,6647,7116,21,4904.51,4032.29
Rocket_csr,34,6647,7256,21,4814.33,3874.95
Rocket_csr,35,6614,7136,24,4812.47,3202.01
Rocket_csr,36,6655,6769,21,5100.02,4590.52
Rocket_csr,37,6674,7204,21,4815.93,2393.1
Rocket_csr,38,6657,7039,21,4857.69,2560.53
Rocket_csr,39,6635,7108,21,4865.41,5795.7
Rocket_csr,40,6637,7035,19,4979.25,3318.32
Rocket_csr,41,6660,7052,18,4992.82,3595.03
Rocket_csr,42,6603,7075,21,4861.42,3959.1
Rocket_csr,43,6652,6772,21,5055.6,3849.02
Rocket_csr,44,6681,7161,24,4844.39,2810.07
Rocket_csr,45,6827,6942,23,5139.92,3787.68
Rocket_csr,46,6616,7055,21,4872.32,3073.32
Rocket_csr,47,6656,7037,21,4897.33,2609.47
Rocket_csr,48,6761,6939,20,5181.68,4631.33
Rocket_csr,49,6681,7231,21,4855.83,3180.31
Rocket_csr,50,6728,6870,23,5029.79,5417.46
Rocket_csr,51,6643,6764,20,5125.55,3610.15
Rocket_csr,52,6629,7204,22,4788.53,3771.06
Rocket_csr,53,6613,6784,24,4974.73,5505.58
Rocket_csr,54,6650,7106,20,5093.1,3195.81
Rocket_csr,55,6640,7071,22,4828.17,3790.92
Rocket_csr,56,6642,7050,19,4974.47,2661.77
Rocket_csr,57,6628,7098,22,4822.58,3360.69
Rocket_csr,58,6653,7100,20,5007.45,2994.91
